name	short	limits	by	type	fittable	auto	coverage	visible	proginteract
Efficacy of treatment (%)	efftx	[0.5, 0.9]	tot	Constant	const	const	None	0	None
Efficacy of PMTCT (%)	effpmtct	[0.82, 0.93]	tot	Constant	const	const	None	0	None
Efficacy of PrEP (%)	effprep	[0.65, 0.8]	tot	Constant	const	const	None	0	None
Efficacy of condoms (%)	effcondom	[0.8, 0.975]	tot	Constant	const	const	None	0	None
Efficacy of circumcision (%)	effcirc	[0.47, 0.67]	tot	Constant	const	const	None	0	None
Efficacy of OST (%)	effost	[0.33, 0.68]	tot	Constant	const	const	None	0	None
Efficacy of diagnosis for behavior change (%)	effdx	[0.0, 0.68]	tot	Constant	const	const	None	0	None
Relative transmissibility with STIs (unitless)	effsti	[1.35, 5.19]	tot	Constant	const	const	None	0	None
Disutility of acute HIV (unitless)	disutilacute	[0.096, 0.205]	tot	Constant	const	const	None	0	None
Disutility of CD4>500 (unitless)	disutilgt500	[0.005, 0.011]	tot	Constant	const	const	None	0	None
Disutility of CD4>350 (unitless)	disutilgt350	[0.013, 0.029]	tot	Constant	const	const	None	0	None
Disutility of CD4>200 (unitless)	disutilgt200	[0.048, 0.094]	tot	Constant	const	const	None	0	None
Disutility of CD4>50 (unitless)	disutilgt50	[0.114, 0.474]	tot	Constant	const	const	None	0	None
Disutility of CD4<50 (unitless)	disutillt50	[0.382, 0.715]	tot	Constant	const	const	None	0	None
Disutility on treatment (unitless)	disutiltx	[0.034, 0.079]	tot	Constant	const	const	None	0	None
